92,01-03-2026,06:30
105,01-03-2026,12:00
98,01-03-2026,18:30
110,01-03-2026,22:00
87,02-03-2026,06:30
101,02-03-2026,12:00
95,02-03-2026,18:30
108,02-03-2026,22:00
90,03-03-2026,06:30
112,03-03-2026,12:00
100,03-03-2026,18:30
107,03-03-2026,22:00
93,04-03-2026,06:30
104,04-03-2026,12:00
99,04-03-2026,18:30
111,04-03-2026,22:00
88,05-03-2026,06:30
102,05-03-2026,12:00
97,05-03-2026,18:30
109,05-03-2026,22:00
91,06-03-2026,06:30
106,06-03-2026,12:00
96,06-03-2026,18:30
113,06-03-2026,22:00
89,07-03-2026,06:30
103,07-03-2026,12:00
94,07-03-2026,18:30
108,07-03-2026,22:00
92,08-03-2026,06:30
105,08-03-2026,12:00
98,08-03-2026,18:30
110,08-03-2026,22:00
87,09-03-2026,06:30
101,09-03-2026,12:00
95,09-03-2026,18:30
107,09-03-2026,22:00
90,10-03-2026,06:30
112,10-03-2026,12:00
100,10-03-2026,18:30
111,10-03-2026,22:00
93,11-03-2026,06:30
104,11-03-2026,12:00
99,11-03-2026,18:30
109,11-03-2026,22:00
88,12-03-2026,06:30
102,12-03-2026,12:00
97,12-03-2026,18:30
113,12-03-2026,22:00
91,13-03-2026,06:30
106,13-03-2026,12:00
96,13-03-2026,18:30
108,13-03-2026,22:00
89,14-03-2026,06:30
103,14-03-2026,12:00
94,14-03-2026,18:30
110,14-03-2026,22:00
92,15-03-2026,06:30
105,15-03-2026,12:00
98,15-03-2026,18:30
107,15-03-2026,22:00
87,16-03-2026,06:30
101,16-03-2026,12:00
95,16-03-2026,18:30
111,16-03-2026,22:00
90,17-03-2026,06:30
112,17-03-2026,12:00
100,17-03-2026,18:30
109,17-03-2026,22:00
93,18-03-2026,06:30
104,18-03-2026,12:00
99,18-03-2026,18:30
113,18-03-2026,22:00
88,19-03-2026,06:30
102,19-03-2026,12:00
97,19-03-2026,18:30
108,19-03-2026,22:00
91,20-03-2026,06:30
106,20-03-2026,12:00
96,20-03-2026,18:30
110,20-03-2026,22:00
89,21-03-2026,06:30
103,21-03-2026,12:00
94,21-03-2026,18:30
107,21-03-2026,22:00
92,22-03-2026,06:30
105,22-03-2026,12:00
98,22-03-2026,18:30
111,22-03-2026,22:00
87,23-03-2026,06:30
101,23-03-2026,12:00
95,23-03-2026,18:30
109,23-03-2026,22:00
90,24-03-2026,06:30
112,24-03-2026,12:00
100,24-03-2026,18:30
108,24-03-2026,22:00
